FosterID;FosterClaimerName;FosterLocation;JoinDate;LocalShelter
FH-001;Candy Davis;789 Grove Circle, Meadowland;30/09/2015;S-01
FH-002;Sofia Turner;876 Parkside Blvd, Parksville;25/04/2016;S-01
FH-003;Olive Jackson;987 Peaceful Place, Serenity Springs;15/01/2017;S-02
FH-004;Aria Robinson;890 Grove Rd, Greenfield;01/05/2017;S-03
FH-005;Mateo Rodriguez;567 Sycamore Street, Greenfield;25/08/2017;S-05
FH-006;Luna Patel;567 Pine Drive, Springdale;10/09/2017;S-01
FH-007;Amina Turner;567 Oak Street, Hillside;10/10/2017;S-02
FH-008;Elena Kuznetsova;567 Pine Street, Harmony City;10/11/2017;S-03
FH-009;Hamish Robertson;567 Lavender Lane, Tranquility Springs;10/11/2017;S-04
FH-010;Mia Chen;567 Olive Street, Harmony City;10/11/2017;S-05
FH-011;Isabella De Luca;567 Olive Street, Highland;05/12/2017;S-01
FH-012;Francesca Esposito;789 Cypress Lane, Serenity Springs;10/01/2018;S-02
FH-013;Isabella Bianchi;789 Birch Drive, Harmony City;10/01/2018;S-03
FH-014;Omar Patel;543 Maple Avenue, Harmony Springs;10/01/2018;S-04
FH-015;Aaliyah Foster;987 Maple Lane, Parksville;10/02/2018;S-02
FH-016;Ava Davis;45 Blossom Blvd, Blossomville;10/02/2018;S-03
FH-017;Emma Davis;45 Blossom Blvd, Blossomville;10/02/2018;S-04
FH-018;Eva Davis;45 Blossom Blvd, Blossomville;10/02/2018;S-02
FH-019;Marco Russo;567 Elmwood Drive, Meadowville;28/02/2018;S-03
FH-020;Owen Robinson;111 Willow Street, Riverside;28/02/2018;S-04
FH-021;Isabella Hill;78 Peaceful Path, Harmony Springs;05/03/2018;S-04
FH-022;Mila Hill;78 Peaceful Path, Harmony Springs;05/03/2018;S-04
FH-023;Stella Ali;78 Peaceful Path, Harmony Springs;05/03/2018;S-04
FH-024;Francesca Ricci;567 Cypress Lane, Highland;10/03/2018;S-04
FH-026;Sophie Lefevre;567 Oak Street, Meadowland;10/03/2018;S-05
FH-027;Oscar Rodriguez;234 Oak Avenue, Serenity Springs;15/03/2018;S-05
FH-028;Nadia Robinson;567 Pine Street, Pineville;20/03/2018;S-01
FH-030;Ethan Foster;55 Harmony St, Harmony City;25/03/2018;S-02
FH-032;Lucas Evans;55 Tranquility Ave, Serenityville;25/03/2018;S-03
FH-034;Nia Nguyen;456 Pine Street, Woodsville;02/01/2024;S-05
